progress_id,enrollment_id,completed_percent,last_access_date
227,8502,23,2021-11-09
228,3867,5,2025-06-11
229,9226,26,2020-03-01
230,6988,45,2019-09-26
231,6023,74,2023-10-04
232,6003,32,2026-01-29
233,8800,66,2021-11-05
234,2022,56,2026-01-27
235,3947,0,2024-04-16
236,6534,65,2022-12-19
237,1683,80,2020-12-10
238,42,47,2022-07-19
239,6988,65,2019-07-06
240,6247,47,2020-07-19
241,4625,60,2025-12-02
242,5802,67,2022-12-17
243,4370,38,2020-07-09
244,9820,100,2024-06-18
245,2351,61,2021-01-01
246,8916,22,2020-01-04
247,5341,34,2021-08-25
248,2088,64,2023-09-28
249,5325,61,2022-10-23
250,743,67,2024-06-12
251,5918,65,2025-05-25
252,6676,9,2022-04-11
253,8675,46,2022-05-15
254,4650,73,2025-08-29
255,493,40,2019-12-01
256,1686,42,2021-03-31
257,854,100,2021-11-04
258,2116,70,2020-01-13
259,7224,100,2021-12-30
260,6924,32,2021-06-06
261,1324,15,2019-08-26
262,1660,42,2023-06-28
263,9662,7,2025-01-14
264,1454,70,2022-10-20
265,3678,31,2024-12-05
266,3601,39,2025-02-14
267,2120,52,2023-04-08
268,2185,38,2022-11-24
269,6705,58,2021-05-13
270,370,52,2025-03-21
271,5309,69,2019-06-07
272,3609,42,2022-09-15
273,3792,48,2020-03-18
274,3118,27,2020-07-19
275,3168,56,2019-09-28
276,97,72,2019-09-21
277,1734,27,2025-05-28
278,6113,54,2022-09-08
279,8982,13,2023-08-18
280,4747,100,2021-10-16
281,9608,26,2023-05-09
282,387,47,2019-12-17
283,6981,72,2025-11-26
284,4408,34,2021-06-19
285,3758,44,2019-11-07
286,8019,65,2021-02-20
287,1614,65,2021-02-18
288,6908,73,2023-04-28
289,9085,91,2026-04-04
290,5260,57,2019-07-25
291,4798,43,2019-05-26
292,4840,60,2023-10-21
293,5952,34,2024-04-19
294,5635,56,2021-08-26
295,7572,71,2024-06-15
296,7634,35,2022-11-03
297,5960,86,2024-03-19
298,1160,34,2025-12-18
299,5225,0,2020-04-27
300,5032,37,2021-01-26
301,6214,33,2021-09-01
302,920,22,2024-03-23
303,668,11,2019-09-07
304,5313,30,2024-04-04
305,284,100,2024-11-01
306,9134,70,2025-05-24
307,8318,18,2022-12-20
308,1114,49,2021-10-14
309,7067,41,2024-04-25
310,1335,54,2022-09-27
311,457,52,2022-11-09
312,9862,41,2025-07-13
313,9449,35,2022-12-13
314,3126,94,2023-05-04
315,2835,80,2022-02-15
316,9285,71,2020-12-30
317,3731,54,2020-04-20
318,6895,100,2019-01-24
319,4604,63,2023-04-04
320,532,40,2024-08-28
321,3897,48,2024-03-31
322,5695,68,2019-12-07
323,8601,56,2020-06-24
324,378,43,2024-08-18
325,4526,36,2020-02-16
326,6063,50,2021-11-13
327,1275,82,2020-04-07
328,4550,29,2020-08-15
329,4999,35,2022-04-29
330,38,12,2022-02-18
331,5202,70,2025-02-10
332,9838,79,2022-01-19
333,1276,76,2025-01-11
334,525,18,2022-11-09
335,9755,40,2020-11-27
336,7661,49,2026-05-02
337,6668,63,2022-02-02
338,3619,72,2025-10-17
339,6422,0,2025-03-22
340,6202,36,2019-12-04
341,6820,46,2022-10-06
342,277,59,2025-05-01
343,2453,51,2025-10-04
344,3288,58,2024-11-04
345,3802,10,2019-07-07
346,1414,60,2022-02-06
347,6917,70,2020-04-11
348,2093,89,2019-10-31
349,9278,42,2019-12-30
350,9343,63,2025-11-26
351,5576,79,2023-05-13
352,2398,66,2025-04-09
353,9439,28,2020-06-30
354,3714,50,2023-07-28
355,363,60,2024-08-07
356,553,76,2024-04-09
357,1680,49,2024-09-04
358,9162,51,2020-05-13
359,1018,39,2021-02-20
360,6992,28,2020-07-16
361,1866,66,2024-03-16
362,4910,14,2022-07-15
363,4108,94,2022-09-01
364,2759,80,2024-08-31
365,8842,23,2023-07-27
366,8892,50,2019-10-26
367,731,50,2024-04-22
368,8842,82,2023-06-20
369,4399,3,2021-12-21
370,9640,40,2023-09-19
371,2396,27,2025-09-29
372,2989,99,2023-06-28
373,5359,28,2023-02-28
374,2160,65,2021-03-24
375,6055,56,2025-02-17
376,2113,52,2019-08-10
377,2826,39,2021-10-06
378,1966,62,2025-11-06
379,9678,17,2020-07-13
380,2628,49,2024-10-23
381,6679,83,2025-12-30
382,5616,0,2025-02-24
383,474,45,2021-12-16
384,2889,28,2025-10-18
385,2461,69,2020-06-02
386,7276,57,2025-10-16
387,8700,39,2019-05-07
388,6820,78,2022-09-07
389,7821,6,2024-03-08
390,6145,26,2022-06-04
391,2848,25,2025-12-03
392,4088,53,2025-10-12
393,8141,63,2025-12-10
394,1158,56,2025-12-10
395,1414,79,2022-03-29
396,1933,15,2023-05-18
397,8233,42,2022-07-06
398,5396,28,2026-01-24
399,622,16,2023-01-08
400,5451,38,2021-04-17
401,7732,20,2021-01-02
402,9934,78,2020-08-03
403,8759,30,2020-10-04
404,7683,37,2020-09-11
405,8764,37,2020-01-27
406,9771,27,2024-03-31
407,7213,59,2022-06-25
408,2030,51,2023-08-07
409,8557,22,2021-06-28
410,5358,47,2021-10-14
411,2794,39,2021-09-19
412,2954,27,2024-09-15
413,162,59,2019-05-16
414,1004,62,2024-10-28
415,2295,73,2019-11-23
416,8286,56,2021-06-14
417,7197,73,2025-05-27
418,3900,31,2025-01-02
419,9029,23,2024-03-08
420,9557,69,2023-08-08
421,7965,10,2021-12-20
422,2088,51,2023-11-02
423,4896,62,2021-08-16
424,9293,0,2021-01-06
425,596,83,2020-06-27
426,3245,20,2025-07-30
427,6377,63,2024-11-07
428,9173,38,2024-03-25
429,4534,61,2026-04-02
430,3957,83,2019-10-29
431,4780,46,2026-01-02
432,8260,43,2022-05-06
433,4870,43,2019-08-12
434,6637,80,2022-05-03
435,5909,39,2023-05-02
436,8203,48,2019-09-09
437,9567,30,2024-08-23
438,1915,65,2019-05-21
439,3615,62,2021-11-11
440,9396,39,2023-01-18
441,1047,31,2019-11-07
442,6809,100,2022-11-13
443,8651,56,2025-12-28
444,4515,100,2019-08-16
445,1993,80,2024-03-15
446,2085,39,2024-08-27
447,8978,64,2024-02-16
448,8274,51,2023-12-11
449,3356,20,2021-09-21
450,5174,66,2020-06-05
451,2060,51,2025-06-07
452,2230,89,2025-08-29
453,9971,49,2025-02-14
454,4760,29,2019-12-26
455,4359,61,2022-03-11
456,8416,33,2026-02-15
457,3505,17,2022-01-06
458,3787,29,2021-02-27
459,6158,44,2025-07-18
460,7377,16,2022-01-09
461,3509,57,2023-04-07
462,2807,80,2025-06-04
463,9299,85,2021-03-17
464,4825,59,2021-11-19
465,5025,75,2025-04-02
466,4941,78,2021-04-23
467,1339,79,2020-12-09
468,7916,42,2022-09-11
469,1282,100,2025-06-30
470,2341,63,2025-12-16
471,6467,57,2025-04-07
472,9946,62,2022-01-15
473,21,34,2022-10-17
474,8705,52,2021-02-08
475,8308,42,2020-06-09
476,4751,58,2024-06-23
477,5034,57,2023-11-09
478,9019,39,2021-09-11
479,5586,77,2025-02-05
480,2719,63,2026-03-29
481,3135,35,2025-07-02
482,2842,69,2024-08-12
483,4127,86,2023-01-31
484,2471,29,2024-02-25
485,6966,71,2025-10-20
486,7921,27,2020-07-28
487,1003,41,2019-07-09
488,458,62,2025-11-17
489,9336,51,2020-01-19
490,1411,94,2020-02-14
491,3191,0,2019-03-15
492,39,78,2023-01-16
493,7318,74,2025-10-29
494,99,42,2019-01-27
495,4947,73,2024-09-17
496,6663,66,2019-06-20
497,7767,91,2019-04-25
498,9962,51,2022-11-19
499,2052,27,2025-04-12
500,5421,80,2025-05-25
501,3261,34,2019-10-25
502,8482,3,2019-04-30
503,1212,83,2021-12-22
504,3753,25,2019-10-10
505,6283,22,2026-03-22
506,8311,11,2021-08-19
507,521,19,2022-09-19
508,170,69,2019-11-17
509,6072,71,2022-10-27
510,9789,56,2023-04-30
511,657,36,2022-12-16
512,3093,50,2026-06-16
513,3467,76,2020-08-28
514,1507,59,2025-09-16
515,6816,40,2025-07-01
516,9241,41,2022-05-21
517,2156,75,2021-01-31
518,6310,41,2025-03-17
519,2478,12,2025-02-23
520,8825,27,2026-01-04
521,7969,37,2022-05-23
522,1110,7,2026-03-04
523,1730,23,2020-01-28
524,3275,64,2023-08-01
525,4477,72,2019-10-06
526,7372,44,2020-08-06
527,7568,46,2020-05-31
528,3828,29,2025-04-20
529,2489,32,2026-02-27
530,1085,75,2022-01-27
531,5069,39,2025-08-29
532,9877,45,2026-05-22
533,6092,21,2026-03-29
534,277,29,2025-03-15
535,9594,49,2020-10-24
536,312,13,2020-04-05
537,8022,20,2020-04-23
538,8402,73,2020-04-10
539,6413,54,2022-10-10
540,9731,52,2023-10-05
541,1223,42,2019-03-27
542,7114,38,2023-12-14
543,7201,4,2019-09-07
544,5147,36,2020-01-05
545,5837,45,2024-11-20
546,9525,80,2021-07-15
547,2079,52,2023-09-24
548,859,80,2024-09-03
549,2985,44,2023-10-06
550,9090,41,2022-06-13
551,4648,54,2023-09-18
552,4343,26,2022-08-09
553,1496,36,2025-05-14
554,8836,41,2019-05-16
555,2958,17,2021-08-23
556,6212,19,2025-04-30
557,643,18,2021-07-01
558,5645,68,2022-02-18
559,8721,35,2022-08-11
560,5755,72,2021-07-10
561,2516,53,2021-08-29
562,51,92,2020-09-03
563,3718,53,2022-03-10
564,9721,27,2024-04-04
565,8121,53,2025-07-19
566,7157,26,2019-08-13
567,4529,66,2019-03-20
568,5674,0,2022-11-18
569,437,73,2023-09-11
570,64,48,2021-03-31
571,5958,5,2026-05-27
572,4382,30,2019-04-24
573,9895,36,2021-02-07
574,1664,72,2022-08-26
575,3758,49,2019-10-22
576,894,69,2024-08-17
577,9960,57,2021-09-14
578,5628,10,2020-04-14
579,8611,75,2025-04-01
580,9205,64,2023-10-22
581,1990,86,2023-12-29
582,5116,36,2019-12-27
583,6414,72,2022-12-30
584,3125,84,2021-10-28
585,42,36,2022-08-15
586,9632,49,2022-04-16
587,143,60,2025-06-17
588,3786,99,2020-03-07
589,3077,52,2019-11-13
590,5552,41,2023-02-07
591,1581,65,2023-08-23
592,1377,66,2019-06-30
593,8223,9,2023-03-25
594,9721,60,2024-03-10
595,4805,39,2021-11-10
596,7093,36,2021-09-18
597,534,36,2024-03-16
598,4209,64,2021-01-04
599,5105,16,2020-08-05
600,3348,19,2023-09-17
601,9342,50,2020-02-15
602,6249,25,2022-10-13
603,9677,44,2025-09-26
604,1707,86,2021-02-16
605,1246,75,2023-06-04
606,5981,74,2026-03-24
607,8522,43,2019-03-03
608,9881,43,2022-07-10
609,7715,48,2019-09-01
610,8795,49,2025-10-05
611,9679,13,2021-04-15
612,7156,42,2025-05-13
613,2390,70,2022-07-19
614,1947,19,2022-12-16
615,199,32,2026-01-29
616,351,78,2021-06-06
617,4677,51,2021-11-14
618,4553,51,2021-06-20
619,1520,0,2025-10-23
620,8683,47,2023-10-19
621,4614,12,2025-01-17
622,5916,41,2026-05-02
623,3715,32,2023-10-20
624,4419,52,2023-04-14
625,3760,57,2019-09-08
626,9559,49,2020-08-18
627,5358,46,2021-08-20
628,6513,61,2022-10-05
629,5166,38,2020-03-09
630,8044,18,2024-03-10
631,5114,43,2020-05-06
632,7702,75,2020-09-05
633,3698,45,2024-12-10
634,4022,5,2026-03-21
635,7990,82,2019-12-22
636,5811,38,2023-05-27
637,4144,62,2025-05-26
638,9707,46,2025-09-13
639,2594,0,2022-12-23
640,9322,72,2023-09-29
641,2438,19,2025-02-25
642,2426,26,2023-08-27
643,8664,30,2021-01-28
644,8159,66,2024-11-30
645,9921,9,2025-09-29
646,8803,88,2025-07-15
647,1786,34,2024-05-29
648,9649,72,2021-07-17
649,9591,26,2023-10-17
650,7660,73,2025-02-23
651,3749,80,2025-10-09
652,2610,44,2022-09-12
653,5543,42,2024-12-17
654,9912,32,2024-08-25
655,6049,82,2021-03-20
656,9629,34,2024-07-01
657,13,82,2025-09-09
658,4431,63,2025-03-02
659,9783,25,2021-12-30
660,2760,46,2021-05-15
661,2871,48,2022-08-21
662,3062,35,2021-02-19
663,3055,57,2019-08-26
664,443,42,2020-03-05
665,4886,29,2022-05-26
666,1275,60,2020-02-06
667,2502,0,2022-06-14
668,9879,63,2022-03-14
669,8109,72,2021-09-24
670,4148,34,2023-05-26
671,4417,42,2020-02-20
672,1149,54,2021-01-06
673,7121,54,2024-05-23
674,3510,84,2024-08-26
675,316,65,2025-11-23
676,1079,100,2024-05-25
677,9819,43,2024-10-11
678,5924,58,2020-12-19
679,9726,94,2026-02-27
680,9007,57,2022-06-02
681,8840,16,2020-10-12
682,1870,25,2021-06-11
683,876,53,2025-04-12
684,7515,12,2025-01-12
685,8953,87,2019-07-25
686,2106,44,2020-02-01
687,5290,86,2025-01-07
688,4790,48,2021-06-20
689,9390,59,2023-03-10
690,5092,41,2023-12-25
691,8402,29,2020-09-20
692,6816,62,2025-06-12
693,4403,0,2025-01-12
694,4527,37,2022-02-20
695,6562,63,2023-07-27
696,2592,38,2025-06-11
697,4675,20,2024-09-15
698,3543,14,2022-01-05
699,4086,0,2021-06-03
700,858,77,2025-07-07
701,1327,56,2024-08-12
702,1303,79,2021-05-28
703,6707,16,2020-09-29
704,5340,16,2023-07-15
705,6812,53,2022-10-13
706,8220,43,2025-11-29
707,8428,3,2020-02-25
708,5368,63,2021-08-20
709,8738,47,2022-01-14
710,6026,95,2024-01-12
711,6194,71,2020-07-27
712,8996,69,2019-05-07
713,17,49,2025-12-29
714,9484,63,2021-01-14
715,5655,60,2023-03-07
716,4002,37,2020-04-03
717,2472,64,2023-11-21
718,2519,97,2022-06-11
719,8368,20,2025-10-08
720,6655,55,2021-01-08
721,9707,57,2025-10-31
722,4406,56,2019-11-26
723,3292,58,2020-05-12
724,7743,83,2020-10-15
725,1375,65,2024-03-24
726,854,25,2022-03-05
727,1147,43,2023-04-26
728,3368,41,2022-05-07
729,1452,82,2021-09-22
730,9494,42,2022-08-06
731,1276,58,2025-01-27
732,2972,51,2024-10-25
733,7618,93,2020-11-10
734,3778,51,2024-03-10
735,6982,74,2020-06-03
736,1596,0,2022-04-03
737,9847,60,2022-03-13
738,5379,80,2019-06-28
739,6222,38,2020-06-06
740,2146,28,2022-06-07
741,4309,66,2021-07-02
742,3544,55,2026-04-08
743,3473,26,2024-03-01
744,9457,70,2020-11-07
745,6823,52,2023-03-27
746,3820,46,2019-08-17
747,7538,44,2022-07-13
748,3047,70,2022-10-04
749,4326,15,2025-03-10
750,712,38,2020-05-30
751,6824,4,2020-11-30
752,8206,66,2021-03-03
753,1483,59,2025-01-09
754,6767,72,2022-06-08
755,7263,67,2023-09-18
756,3550,17,2023-12-30
757,7243,100,2020-11-11
758,8692,31,2019-09-02
759,8277,34,2019-10-26
760,1916,32,2025-01-08
761,6052,72,2023-04-02
762,1791,39,2025-11-10
763,3113,24,2022-05-31
764,643,43,2021-07-23
765,5434,84,2023-06-10
766,116,49,2026-04-02
767,5385,74,2026-05-06
768,5582,87,2022-01-15
769,496,44,2026-01-15
770,7122,45,2022-10-19
771,2520,34,2023-01-19
772,2701,30,2020-03-09
773,1788,50,2025-10-28
774,913,75,2023-10-22
775,1834,35,2021-04-20
776,5147,88,2019-09-05
777,6391,100,2023-01-19
778,1048,0,2025-06-29
779,6031,67,2021-05-27
780,5738,74,2020-09-15
781,1574,36,2020-03-27
782,7081,39,2021-06-30
783,9762,91,2025-02-08
784,2871,73,2022-09-01
785,5402,10,2020-08-26
786,3043,62,2022-03-24
787,4083,56,2019-12-08
788,6345,58,2024-01-17
789,4215,47,2025-07-11
790,5362,92,2024-07-01
791,6940,53,2021-12-05
792,5356,51,2023-08-02
793,9642,72,2024-12-24
794,9866,19,2019-12-29
795,6905,100,2020-08-28
796,8241,26,2025-09-27
797,7009,66,2022-11-12
798,9243,52,2020-11-16
799,5706,47,2025-05-11
800,6572,51,2023-09-13
801,4177,48,2019-07-12
802,475,40,2022-11-01
803,6757,9,2022-11-08
804,432,21,2023-07-02
805,7033,34,2025-03-09
806,6191,37,2025-12-31
807,4622,76,2023-04-29
808,9975,71,2022-08-04
809,4677,59,2021-10-03
810,9941,36,2024-03-07
811,3997,56,2024-10-16
812,8480,27,2026-03-22
813,5272,67,2021-12-03
814,3871,64,2023-10-28
815,6726,85,2021-10-09
816,6172,5,2020-09-16
817,2938,57,2020-12-02
818,3352,55,2025-03-03
819,6955,55,2021-02-03
820,5099,37,2022-06-13
821,6218,77,2021-06-03
822,1004,58,2025-01-03
823,3490,61,2022-09-27
824,8122,59,2025-12-16
825,8296,13,2021-01-16
826,320,49,2024-04-14
827,1340,27,2022-08-01
828,9303,31,2020-09-19
829,404,61,2022-06-24
830,2976,80,2019-12-10
831,9751,50,2020-05-18
832,4591,0,2023-04-25
833,9744,62,2022-12-23
834,9169,45,2020-09-19
835,9153,100,2023-09-16
836,7561,41,2023-06-18
837,7962,21,2019-02-17
838,995,32,2019-12-29
839,7142,47,2022-12-15
840,7746,86,2024-11-01
841,3713,31,2020-07-06
842,3925,42,2024-01-12
843,7795,77,2024-01-29
844,5010,29,2022-10-03
845,1126,18,2023-09-09
846,7690,51,2023-01-03
847,467,48,2023-01-29
848,735,100,2025-01-31
849,6293,49,2022-11-05
850,9921,47,2025-12-18
851,7968,67,2022-02-20
852,1210,74,2024-08-29
853,2224,26,2023-06-07
854,7818,36,2021-07-07
855,9451,82,2022-06-17
856,5563,60,2021-09-15
857,9982,52,2023-03-17
858,7039,47,2025-02-03
859,7411,100,2022-12-27
860,2601,42,2023-11-16
861,7665,50,2019-05-02
862,5351,30,2025-04-05
863,898,22,2022-11-05
864,3890,66,2020-12-02
865,4173,73,2024-07-08
866,6787,41,2022-12-23
867,1169,68,2024-12-25
868,9454,58,2021-03-24
869,5692,67,2021-11-16
870,3589,62,2021-02-04
871,5476,62,2025-02-01
872,2159,95,2024-08-23
873,6132,70,2024-04-03
874,2161,0,2023-03-04
875,3141,11,2025-03-21
876,7740,36,2025-05-13
877,1745,22,2024-04-14
878,3560,48,2025-11-07
879,138,67,2022-08-26
880,3590,56,2023-11-08
881,5846,37,2025-09-01
882,3607,56,2020-09-18
883,619,54,2021-02-04
884,2202,28,2021-02-25
885,10,60,2025-02-09
886,2383,58,2022-03-07
887,568,35,2020-01-21
888,885,61,2022-03-16
889,7682,0,2024-07-31
890,3700,79,2022-06-24
891,3352,51,2025-05-27
892,4370,54,2020-07-14
893,5998,77,2022-10-06
894,4305,36,2026-05-04
895,1509,70,2022-05-16
896,3192,46,2019-08-08
897,9211,62,2026-03-05
898,5104,26,2022-06-23
899,95,40,2023-04-26
900,5700,57,2025-04-11
901,2505,13,2023-08-21
902,7034,63,2026-01-22
903,1471,34,2019-11-01
904,9876,39,2023-06-09
905,6208,48,2024-06-11
906,4681,83,2025-05-26
907,4432,71,2019-11-16
908,259,55,2019-04-16
909,2392,72,2023-11-11
910,5342,86,2024-06-07
911,7022,46,2021-03-24
912,6809,100,2022-12-28
913,4011,95,2019-10-23
914,7487,34,2025-05-14
915,6634,4,2025-09-24
916,9745,38,2020-02-20
917,6267,37,2022-04-08
918,9635,62,2020-11-29
919,9747,73,2023-09-07
920,1326,53,2025-09-17
921,1705,14,2023-05-24
922,7812,87,2021-06-13
923,2684,49,2023-01-22
924,6367,60,2019-12-20
925,2233,62,2023-08-07
926,6376,10,2022-11-20
927,1612,54,2020-03-12
928,9819,54,2024-07-14
929,1977,36,2019-10-02
930,1479,28,2022-09-30
931,8587,69,2024-09-17
932,5687,14,2020-11-09
933,3819,43,2019-08-13
934,1893,65,2021-11-07
935,5700,14,2025-01-29
936,1659,45,2022-07-26
937,9685,61,2019-04-02
938,8734,49,2021-09-10
939,397,38,2020-09-16
940,7010,64,2020-03-20
941,5986,55,2024-10-15
942,757,39,2025-01-04
943,5687,78,2020-10-13
944,8369,72,2021-12-04
945,150,35,2023-10-23
946,2600,28,2022-07-08
947,3137,24,2021-02-16
948,2533,5,2020-10-07
949,1519,64,2021-08-05
950,5942,56,2024-08-30
951,8700,38,2019-06-19
952,323,46,2023-04-18
953,1016,67,2024-01-19
954,6237,37,2021-06-18
955,3776,65,2022-04-25
956,1945,71,2021-04-03
957,5544,22,2025-03-07
958,2008,53,2021-04-26
959,9532,13,2023-03-01
960,6410,10,2020-08-06
961,7660,69,2025-01-19
962,3240,54,2020-04-03
963,58,100,2025-03-18
964,8784,43,2021-07-25
965,3130,25,2022-09-23
966,728,38,2024-05-25
967,4132,55,2021-06-27
968,9009,63,2020-06-25
969,5607,61,2022-07-22
970,5733,50,2025-02-23
971,7681,56,2019-12-08
972,1767,38,2026-02-05
973,4505,30,2024-04-21
974,3353,60,2023-04-07
975,6951,24,2019-07-20
976,7656,51,2022-09-22
977,9610,89,2020-12-22
978,4280,62,2023-10-11
979,2135,59,2020-03-02
980,8754,58,2023-08-31
981,2641,27,2022-01-03
982,5029,60,2019-12-26
983,8707,67,2023-12-06
984,3094,100,2021-06-29
985,8605,9,2022-02-17
986,7172,68,2020-04-26
987,7930,47,2020-01-12
988,3143,31,2020-08-28
989,4596,67,2024-05-15
990,6449,35,2021-07-21
991,9799,58,2020-04-27
992,7275,55,2024-06-21
993,3752,28,2025-11-25
994,6442,58,2024-08-19
995,788,79,2019-10-12
996,3261,39,2019-11-24
997,6937,69,2022-12-08
998,6460,28,2025-07-04
999,5875,90,2022-11-22
1000,9068,24,2020-04-06
1001,561,16,2021-02-01
1002,758,24,2021-05-22
1003,2105,13,2019-11-22
